year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,8853039.75,18816.14789,28.12578201,0,1618385.578,0,215091344,8824183,28.12578201,55905144,18169.25391,28.12578201,8824211,18197.38086,0,4951853,14001689,56.25156403,0,0,0,0.010289861,0.000660071,0.09860262,739989.3376,713804.1875,-27282.00903,0.039813969,0,0,0,0,0,0,0,0,0,14091100.24,14091100.24,56.25156403,56.25156403,0,0,14091100.24,14091100.24,56.25156403,56.25156403,0,0,0,55905144,0.012768131,0.013236516,0.157842058,0.043400144,0.000636972,0
1981,1,11416142.5,38757.33105,787.5218811,0,3752738.563,0,213051952,9604617,815.6477661,55806860,45760.64844,787.5219727,9605433,46548.16797,28.12578201,5108514,14341871,6187.672852,56.25156403,0,0,0.013395961,0.001366736,2.772713998,718051.2272,705675.875,50063.89285,2.266632142,0,0,0,0,0,0,0,0,0,2942659.897,529889.7139,6356.426552,6356.426552,56.25156403,0,17033760.14,14620989.96,6412.678116,6412.678116,56.25156403,56.25156403,0,55806860,0.012644966,0.01286672,0.172104594,0.044964006,0.0016111,0
1982,2,14588955.25,52567.08691,1321.911774,0,5802770.5,0,209760384,11095369,2137.559082,55627284,81846.02344,2053.181885,11097506,83899.20313,84.37734985,5709871,14523845,11025.30762,112.5031281,0,0,0.017387644,0.001866976,4.68164374,709894.7503,704072.6875,-5062.64085,3.815929673,0,0,0,0,0,0,0,0,0,1246506.472,406417.5313,5062.640541,5062.640541,56.25156403,0,18280266.61,15027407.49,11475.31866,11475.31866,112.5031281,112.5031281,0,55627284,0.012656967,0.012761629,0.199459118,0.050551101,0.002898424,0
1983,3,16839270.75,69498.80664,1856.301758,0,7937657.875,0,206815056,12382178,3965.734863,55436672,123303.4297,3740.728516,12386144,127044.1563,225.0062561,6249126.5,14712738,16537.96094,393.7609863,0,0,0.02035547,0.002488211,6.617643484,711019.7816,700275.625,-11531.57083,5.105174257,0,0,0,0,0,0,0,0,0,1310605.151,424389.8906,6018.917004,6018.917004,281.2578239,0,19590871.76,15451797.38,17494.23566,17494.23566,393.760952,393.760952,0,55436672,0.012631993,0.012825802,0.223357167,0.055687305,0.004395133,0
1984,4,17988490,72255.12891,3037.584656,0,9717992,84.37734604,205154224,13295366,6947.068359,55359272,164310.8125,6328.301758,13302286,170639.0938,618.7672729,6616674.5,14939600,24638.18555,815.6477661,0,0,0.021920692,0.00260687,10.89709365,716926.1959,683090.875,56814.08065,8.650578437,0,0,0,0,0,0,0,0,0,1007690.453,456706.4375,8268.979546,8184.602497,450.0125046,0,20598562.22,15908503.82,25763.21521,25678.83816,843.7734566,843.7734566,0,55359272,0.012339232,0.012950427,0.240165116,0.059328516,0.005893182,0
1985,5,18517142.5,78105.29297,3121.961792,56.25156403,11129005.5,168.7546959,204664272,13887217,9900.275391,55353864,150332.2969,8043.972656,13896976,158376.2656,1856.301392,6878693.5,15191831,89636.85938,2306.313965,0,0,0.022618924,0.002823537,11.22826005,734926.6967,675665.625,102940.364,8.780546064,0.205755117,0,0,0,0,0,0,0,0,9974245.892,471978.7422,66348.72049,66348.72049,1490.666534,0,30572808.11,16380482.56,92111.9357,92027.55865,2334.439991,2334.439991,0.20225248,55353864,0.012206296,0.013276882,0.250880715,0.061830851,0.005405197,0
1986,6,18260889,100493.4141,3628.226135,225.0062599,11842979,393.7609596,205013312,14128422,13247.24414,55390128,187008.3125,10856.55273,14141305,197864.875,2390.691162,6900350.5,15481555,119197.0625,2840.703857,0,0,0.022267931,0.0036413,13.06321318,741395.6267,679237.625,115034.4504,10.10500607,0.545161185,0,0,0,0,0,0,0,0,4123661.503,493410.5625,31529.00117,31303.9965,675.0187531,0,34696469.61,16873893.12,123640.9369,123331.5551,3009.458744,3009.458744,0.809805165,55390128,0.012262792,0.013384978,0.25507112,0.062086489,0.006730493,0
1987,7,17756255.5,111771.8555,5315.772339,365.6351662,12130930.25,253.1320457,205716752,14161950,17859.87109,55410908,233697.125,14962.91602,14179331,248660.0313,2896.955322,6843171.5,15755866,138153.8438,3375.094238,0,0,0.021578524,0.004061642,19.16448815,761083.6745,667199.75,59345.40108,14.52394416,0.828286697,0,0,0,0,0,0,0,0,2465702.824,476113.2109,21178.71598,20925.58423,646.8929787,0,37162172.43,17350006.33,144819.6528,144257.1394,3656.351723,3656.351723,1.317481712,55410908,0.012040946,0.013735268,0.255580544,0.061644462,0.008420735,0
1988,8,17000235,105837.3047,4809.508423,337.5093918,12132730.75,253.1320381,206802400,14037324,22134.99219,55444880,259741.5938,18113.00391,14058896,277854.5938,4021.986328,6703470.5,16011107,171286,4528.250977,0,0,0.020551303,0.003858521,17.38096203,770365.1827,662868.4375,49220.11938,12.34741253,0.689768504,0,0,0,0,0,0,0,0,2428548.576,457409.5781,38054.18181,34819.71603,1321.911789,0,39590721.01,17807415.91,182873.8347,179076.8554,4978.263512,4978.263512,1.218918856,55444880,0.011955449,0.013894253,0.253176199,0.060524142,0.009380596,0
1989,9,16138292,107834.2305,5568.904419,731.2703018,11821603,281.2578163,208129088,13679986,26494.48828,55493064,293858.1563,21600.60156,13706088,315458.75,4893.885742,6485889,16361442,189905.2656,5484.527344,0,0,0.019384955,0.003897711,19.93287113,767271.3466,692766.125,85502.3788,13.90812938,1.745053863,0,0,0,0,0,0,0,0,2224777.4,606954.3516,22500.62738,21459.972,1040.653992,0,41815498.41,18414370.26,205374.462,200536.8274,6018.917503,6018.917503,2.615425686,55493064,0.012483833,0.013826437,0.246517042,0.057992785,0.010509987,0
