year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,27815326.5,23372.525512695312,112.50312805175781,0,8329927.453,0,201815424,8911964,112.50312805175781,55654396,21741.22852,112.50312805175781,8912076,21853.73242,0,5202679,13846239,393.7609863,0,0,0,0.034456393,0.000827298,0.39791340037346845,740270.5954000001,695353.625,-44438.73635,0.315790901,0,0,0,0,0,0,0,0,0,14100185.05,14100185.05,393.7609329223633,393.7609329223633,0,0,14100185.05,14100185.05,393.7609329223633,393.7609329223633,0,0,0,55654396,0.012494136581771545,0.013301206,0.16013045941600013,0.046003331,0.000768965,5
1981,1,19279041,66179.96777,1068.7797241210938,0,17064109,0,203576656,7563529,1181.282715,55588132,70398.82813,1125.03125,7564710,71523.85938,56.251564025878906,4236361.5,14210215,6215.798828,112.50312805175781,0,0,0.023675407311926765,0.002354062,3.792370064085845,718051.2272,696422.5,43876.220700000005,3.2990445127912253,0,0,0,0,0,0,0,0,0,2926262.517578125,519201.9238,5822.036819458008,5822.036819458008,112.50312805175781,0,17026447.564453125,14619386.970703125,6215.797752380371,6215.797752380371,112.50312805175781,112.50312805175781,0,55588132,0.012528258729759078,0.012917347667394184,0.13606373748986564,0.037578391628802305,0.002497874,5
1982,2,17075779.25,77936.54297,1884.4274291992188,0,16246069.25,0,205428464,6913851.5,3065.710205078125,55502036,117284.5078,2868.82959,6916917,120153.3438,196.88046264648438,3697499.5,14462867,16931.7207,253.1320343017578,0,0,0.020780687979539195,0.002784027,6.704097276497462,709894.7503000001,716701.125,7875.2191,4.979720807523332,0,0,0,0,0,0,0,0,0,1299861.0869140625,399807.9688,10687.79651260376,10687.79651260376,140.62891006469727,0,18326308.651367188,15019194.939453125,16903.59426498413,16903.59426498413,253.13203811645508,253.13203811645508,0,55502036,0.01291306,0.012790427189013392,0.12456933111426759,0.03288249,0.004172124,5
1983,3,15434247.5,71917.625,3656.3518676757812,0,15057080.25,56.251564025878906,207173104,6453432,6693.936523,55436936,146535.3125,6187.672363,6460070,152722.9844,506.26409912109375,3296116.5,14743929,29335.19141,590.6414794921875,0,0,0.018624820502761787,0.00257719,13.037078164744024,711301.0394250001,678000.0625,-26156.97773,11.034417473835585,0,0,0,0,0,0,0,0,0,1315470.875,416036.5469,12290.968311309814,12290.968311309814,337.5093879699707,0,19641779.526367188,15435231.486328125,29194.562576293945,29194.562576293945,590.6414260864258,590.6414260864258,0,55436936,0.012230114277960816,0.012830814448781947,0.11641032974838292,0.029375078871437952,0.005223707,5
1984,4,13985572.25,67248.74316,3656.3519897460938,56.251564025878906,13809731.25,140.62891006469727,209056112,6059333.5,10181.5332,55479764,166898.375,9309.633789,6069374,176208.0313,871.8993530273438,2963838.5,15074772,40951.14063,928.1508178710938,0,0,0.016724663197122885,0.002416018,13.062073034078775,717207.4537500001,676987.5625,50063.892850000004,10.252189986087958,0.093812028,0,0,0,0,0,0,0,0,997818.3295898438,458140.8594,12262.841690063477,11812.829086303711,393.7609405517578,0,20639597.85595703,15893372.345703125,41457.40426635742,41007.391662597656,984.4023666381836,984.4023666381836,0.20088814025780286,55479764,0.012202423256522864,0.012927370306586021,0.10921700207664907,0.026461487,0.005960351,5
1985,5,12922586.25,60611.05762,3684.4776611328125,84.37734603881836,12796499,140.62891006469727,210990608,5686385.5,13584.75391,55596204,140178.8906,10462.79102,5699802,150641.6875,3121.961669921875,2682665,15431322,102771.6016,3515.722900390625,0,0,0.015311802705928976,0.002171142,13.137087575321578,734645.4389000001,702835.125,126566.0213,9.232218981636166,0.23137741377898008,0,0,0,0,0,0,0,0,10116364.908203125,459603.3906,62579.86407470703,62411.10968017578,2587.5715942382812,0,30755962.764160156,16352975.736328125,104037.26834106445,103418.50134277344,3571.973960876465,3571.973960876465,0.30073712509795597,55596204,0.012641782611632981,0.013213949623251257,0.1022801035121031,0.023903837865727164,0.004996246,5
1986,6,11784252.25,53776.49609,3318.8424682617188,112.50312805175781,11676671.25,253.1320457458496,212869136,5387971,16481.70703,55734952,142316.4531,12403.4707,5404228,154719.9219,4078.238037109375,2456787,15814424,120434.5938,4640.753906,0,0,0.013839785,0.001921411,11.803293121469718,741395.6267,684806.5,124597.21647500001,9.714702605983046,0.21923129387036025,0,0,0,0,0,0,0,0,2929975.0419921875,493804.34533691406,19547.418258666992,18703.64569091797,1125.0312957763672,0,33685937.806152344,16846780.08166504,123584.68659973145,122122.1470336914,4697.005256652832,4697.005256652832,0.39993518760085306,55734952,0.012286841119016303,0.013302167,0.096671313,0.021833961125247686,0.00505918,5
1987,7,10831688.25,51948.32129,4471.999450683594,365.63515853881836,10792621.5,168.75469207763672,214459088,5140689.5,20166.18555,55852576,147941.5938,15553.55566,5160462,163495.1719,4612.62793,2259400.25,16156743,136100.6563,5287.646973,0,0,0.012626753604864718,0.001852216,15.86998991647787,761083.6745,668156.125,61595.463675000006,11.119979060765065,0.8448260605991647,0,0,0,0,0,0,0,0,1696631.482421875,455750.1641,17494.23671722412,16678.588859558105,646.8929672241211,0,35382569.28857422,17302530.24572754,141078.92331695557,138800.7358932495,5343.898223876953,5343.898223876953,1.2968304926000105,55852576,0.011962852,0.013626653,0.09204033,0.020034035778297644,0.005247175,5
1988,8,10289423.25,45929.40039,3459.4713745117188,590.6414108276367,10128600.25,365.6351661682129,215797584,4918383,22359.99805,55974780,137956.9688,16453.58203,4940153,154410.5469,5906.414551,2100630,16505982,158826.2813,6722.0625,0,0,0.011920225263040943,0.001635479,12.265608025164754,770365.1827,667340.375,52595.21328,8.431954511413172,1.6199125782695516,0,0,0,0,0,0,0,0,1930328.572265625,471078.7109,26466.363250732422,23372.527908325195,1631.2953796386719,0,37312897.860839844,17773608.95666504,167545.2866,162173.2638015747,6975.193603515625,6975.193603515625,2.0929071185305914,55974780,0.011922161641367774,0.013762719258119461,0.08786784,0.018608682864948566,0.004888433,5
1989,9,9558322.25,43566.83789,3515.7228393554688,871.8992309570312,9316692.75,450.0125045776367,217096432,4679680,24694.4375,56106664,134694.375,17859.87109,4703755.5,152554.25,6834.56543,1969170.25,16936924,174351.7188,7593.960938,0,0,0.011007001,0.001531981,12.312080887799128,766990.0887750001,694903.6875,90565.01965,8.532172652798756,1.8460971879418635,0,0,0,0,0,0,0,0,1707375.5146484375,615335.8369140625,17325.482192993164,16200.451248168945,1125.031265258789,0,39020273.37548828,18388944.79,184870.76876068115,178373.71504974365,8100.224868774414,8100.224868774414,3.0514873798960287,56106664,0.012385403764158923,0.013670213733880169,0.083406848,0.017229337,0.004714056,5
