measure,quantile,infections,cancers,group,n_ranked,n_infections,n_cancers,cancers_unattributed_frac,spearman_theta_vs_rships,spearman_theta_vs_rship_rate,Seed
direct,0.01,0.06140898336335688,0.0900980060831362,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
direct,0.02,0.09330455995128094,0.1268671848597499,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
direct,0.05,0.16240832931413857,0.20588036498817167,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
direct,0.1,0.24623844805738837,0.298411625549172,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
direct,0.2,0.37288004112539136,0.4286583305170666,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
direct,0.5,0.6511613876890521,0.6939506590064211,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen0,0.01,0.05972969042721524,0.08813789459309931,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen1,0.01,0.1235515105604532,0.13565395462789648,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen2,0.01,0.17140403232609625,0.18905038320449144,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen3,0.01,0.21762544704097084,0.220682698960829,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen0,0.02,0.09118568815671294,0.12450153670678787,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen1,0.02,0.18376903056149393,0.19682328139266952,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen2,0.02,0.25080671837254315,0.2698209336443799,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen3,0.02,0.3128109114236803,0.3127408473370581,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen0,0.05,0.16048804303114014,0.20364991338714888,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen1,0.05,0.3060156973718722,0.3193647081261102,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen2,0.05,0.4040850399506349,0.4214938191205741,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen3,0.05,0.48596911106535184,0.4832038563756334,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen0,0.1,0.24588580813030145,0.2980061366533027,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen1,0.1,0.441882690453256,0.45630287352208565,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen2,0.1,0.56029866053706,0.5767489710126485,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen3,0.1,0.6498973451028288,0.648192023561378,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen0,0.2,0.37266000946762307,0.42838803696989103,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen1,0.2,0.6136425840904693,0.6302805645793014,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen2,0.2,0.7339969708976947,0.7473471406593213,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
downstream_gen3,0.2,0.8125046398029445,0.805948021337957,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
gini,,0.10147747380965011,,all,442510,2156179787.850586,543615.0658607483,0.23453024620958854,0.2641851548737272,0.45385291365942504,0
direct,0.01,0.059986063199219064,0.0807815880925841,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
direct,0.02,0.09283350121717018,0.1216969379057111,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
direct,0.05,0.16241648492787866,0.20582256901186807,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
direct,0.1,0.24707079062140122,0.29683299455773393,all,441231,2186241494.013672,555371.6416015625,0.227641069881831,0.26815755439961714,0.45663615367341837,1
