year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,73682265,53945.248291015625,253.1320457458496,0,16527102.78,0,131403248,24648732,253.1320343017578,55037792,51863.9375,253.1320343017578,24648986,52117.07031,0,12411767,13328694,928.1508178710938,0,0,0,0.14018349264852267,0.00195417,0.9152611519611147,739989.3376,713804.1875,-27282.00903,0.7719070072971197,0,0,0,0,0,0,0,0,0,14040136.62890625,14040136.62890625,928.1508178710938,928.1508178710938,0,0,14040136.62890625,14040136.62890625,928.1508178710938,928.1508178710938,0,0,0,55037792,0.012969346362950026,0.013445113088384796,0.44785103297748574,0.11219346167763866,0.001875251,0
1981,1,76021032,208046.3984,2221.9369049072266,0,52933283,0,120987120,25720578,2475.068848,54504192,209874.5625,2446.942626953125,25723048,212321.5,28.125782012939453,12423972,13341915,16031.69629,84.37734985351562,0,0,0.1570849690446388,0.00773671,8.199562577458037,718051.2272,694734.9375,44438.73635000001,7.81509974,0,0,0,0,0,0,0,0,0,3122664.780517578,517429.9992675781,15356.67691040039,15356.67691040039,84.37734985351562,0,17162801.409423828,14557566.628173828,16284.827728271484,16284.827728271484,84.37734985351562,84.37734985351562,0,54504192,0.012746449621709831,0.013174238547101112,0.4719009136031225,0.11460939509866246,0.007744253,0
1982,2,64550131,241881.6992,5372.0242919921875,0,55597725,0,122839760,25516300,7847.092285,54141820,353962.9375,7678.337891,25524146,361641.2813,168.7546844482422,12011677,13359324,37829.17578,365.63519287109375,0,0,0.13137059816788962,0.00916303,20.086950675108845,709613.4924750001,708432.1875,10406.53953,18.62858596961085,0,0,0,0,0,0,0,0,0,1928022.262,387460.75,22641.256607055664,22641.256607055664,281.25782775878906,0,19090823.671142578,14945027.378173828,38926.08433532715,38926.08433532715,365.6351776123047,365.6351776123047,0,54141820,0.013084750152469939,0.013106568868113412,0.4712863365139923,0.11225224314272866,0.013231502553311904,0
1983,3,56975097,246888.0938,7622.0860595703125,28.125782012939453,51053131,0,127079360,24958934,15384.80078,53899376,474088.1563,14766.03711,24974314,488854.2188,618.7672729492188,11436702,13489659,67108.11719,843.7735595703125,0,0,0.112085662,0.009480167,28.76051384610725,711301.0394250001,646471.125,-48376.3459,25.043114635045598,0.081502154,0,0,0,0,0,0,0,0,1516317.037109375,407317.5391,30178.96640777588,30178.96640777588,478.1382827758789,0,20607140.708251953,15352344.917236328,69105.05074310303,69105.05074310303,843.7734603881836,843.7734603881836,0.10606827149667636,53899376,0.011994037277908374,0.013196832546354526,0.46306536090510586,0.10782555416632505,0.017878867,0
1984,4,50596314,242331.7305,10406.538330078125,28.125782012939453,46088928,84.37734603881836,132029168,24135464,25566.33789,53800344,572022.125,24160.04883,24161032,596182.1875,1406.2889404296875,10699498,13692277,98749.60938,1631.295166015625,0,0,0.095805182,0.009410429,39.56969422946309,717207.4537500001,664471.625,52313.95545,34.11591394257911,0.12462371944575314,0,0,0,0,0,0,0,0,1552233.668,436033.9766,32682.1582,32175.895111083984,843.7734375,0,22159374.376220703,15788378.893798828,101787.20894622803,101280.94585418701,1687.5468978881836,1687.5468978881836,0.10684697405983147,53800344,0.012350694727899882,0.013330908,0.4486117040441228,0.10161575105123102,0.021730536,0
1985,5,44921599,233359.5938,10462.789794921875,196.88047790527344,41320317,365.63516998291016,137285472,23114808,35635.36719,53801444,473160.0313,27788.27539,23150190,500948.3125,7847.092285,9922382,13917311,333093.625,9562.765625,0,0,0.081803264,0.009048633,39.881252281796634,734364.1810750001,700388.1875,135003.75600000002,32.76719409987924,0.6079627955193425,0,0,0,0,0,0,0,0,9693381.766,424614.9063,238056.60180664062,236678.4473876953,8072.098876953125,0,31852756.141845703,16212993.800048828,339843.81075286865,337959.3932418823,9759.645774841309,9759.645774841309,0.7496597178565839,53801444,0.013018018391848367,0.013649525486249033,0.42963173999567744,0.094453373,0.018016465,0
1986,6,39852880,199636.7891,10125.280517578125,450.01251220703125,36714973,590.6414031982422,142063344,22021360,44973.12891,53849932,483369.6875,35691.61719,22065742,519061.25,9281.507813,9199465,14199442,416880.3125,11222.1875,0,0,0.070132236,0.007749204,38.63149614,741395.6267,681712.6875,135285.0138,32.30500722128505,1.3319513311740754,0,0,0,0,0,0,0,0,4923108.357421875,466747.3203,88258.70545959473,87414.93002319336,1800.0501861572266,0,36775864.49926758,16679741.120361328,428102.5162124634,425374.3232650757,11559.695960998535,11559.695960998535,1.7146206522793084,53849932,0.01265949,0.013767809896213054,0.4089394207591571,0.087628634,0.018417168998447815,0
1987,7,35622316,188583.3594,12234.71387,1265.6602783203125,32661205.5,590.6414184570312,146034016,20944116,55351.54688,53908596,522689.5,44719.99609,20998652,567409.5,10631.5459,8502226,14473835,470009.9375,12881.60938,0,0,0.060982908,0.007329928,46.686992418724344,760521.1588000001,665821.625,78189.67535,36.47280298,3.7585600192174278,0,0,0,0,0,0,0,0,3285147.449,442727.9063,59570.40723,57067.21417236328,1856.301758,0,40061011.94848633,17122469.026611328,487672.9234390259,482441.53743743896,13415.997718811035,13415.997718811035,4.821461943922365,53908596,0.012350936110448879,0.014107605,0.3885116206699206,0.080971884,0.019911563757711744,0
1988,8,32111457.5,184223.8594,11334.688720703125,1181.2828674316406,29316290.5,478.13829803466797,149714032,19873874,64689.29688,53981784,503985.875,49023.24219,19937634,553009.0625,15666.05859,7870634,14754504,557987.375,18591.14063,0,0,0.053621322,0.007161758,43.298136637565776,770083.9248500001,658452.6875,66658.10453,35.092497605152666,3.442537568294166,0,0,0,0,0,0,0,0,3105648.637,456200.1641,108002.9951171875,92365.06811523438,6722.061523,0,43166660.58520508,17578669.190673828,595675.9185562134,574806.6055526733,20138.059242248535,20138.059242248535,4.504026983495953,53981784,0.012197682972092956,0.014265625694215665,0.368158896,0.075023411,0.019216109,0
1989,9,28732343,153229.2578,10406.537841796875,1828.176025390625,26167526.5,815.6476593017578,153141696,18686234,72367.63281,54081352,487194.7813,54310.89063,18757364,541505.6875,18056.75195,7297402.5,15124076,618542.125,21291.21875,0,0,0.046904833481797144,0.005880023,39.28154720241277,767271.3466,646077.3125,69189.42495,30.7179141,5.075824807997487,0,0,0,0,0,0,0,0,2904605.574,573850.3203,70201.95349121094,65589.32568359375,3234.4652099609375,0,46071266.15942383,18152519.510986328,665877.8720474243,640395.9312362671,23372.524452209473,23372.524452209473,6.886695850903924,54081352,0.011946397207303545,0.014187355127512345,0.3455208368311502,0.068722857,0.018352512187110235,0
1990,10,26163051.5,143553.9883,10603.419189453125,3515.7228393554688,23752786,1321.9117736816406,155901504,17692832,78527.1875,54198604,441406,56814.08594,17769502,498220.0938,21713.10547,6801010.5,15416556,705816.4375,25144.45117,0,0,0.041954456545845766,0.005490865,39.96955160482905,783584.3004500001,673556.25,95346.40268,30.683007684627675,9.457452685519023,0,0,0,0,0,0,0,0,6425728.445,460194.0078,98524.61602783203,93461.97576904297,4359.495910644531,0,52496994.60473633,18612713.518798828,764402.4880752563,733857.9070053101,27732.020362854004,27732.020362854004,13.224183986806477,54198604,0.012427557,0.014457647293830669,0.326444423,0.063953999,0.016603226202980294,0
1991,11,24153351.5,136831.9238,10265.909423828125,3937.6093139648438,21756306,1012.5281524658203,158483024,16825376,83871.07813,54381448,429733.8125,58417.25781,16907194,488151.0313,25453.83594,6363767,15728049,770168.1875,28350.79297,0,0,0.03810085,0.00521358,38.56956494591998,780490.4643750001,640114.625,120940.86475000001,29.782014755964592,10.736471403585472,0,0,0,0,0,0,0,0,3989866.953,469531.7813,76670.88110351562,68289.39739990234,4415.747314453125,0,56486861.55786133,19082245.300048828,841073.3692,802147.3044052124,32147.76767730713,32147.76767730713,14.761408701880994,54381448,0.011770827157820438,0.014352145687165228,0.30939551296979073,0.059641624,0.016109969,0
