year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,17739999.25,23063.142333984375,140.62891006469727,0,3410841.469,0,208800736,14005345,140.6289063,55776488,21516.22266,140.6289063,14005485,21656.85156,0,7094419.5,0,0,0,0,0,0.021240345687766157,0.00081282,0.4952485745138687,739989.3376,711722.875,-27282.00903,0.5704110209096095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55776488,0.012760267,0.013267047892563619,0.2510976488874667,0.062460197,0.000757727,0
1981,1,26162376.5,54114.00586,1012.5281372070312,0,10214636.63,0,200125616,18465280,1153.156982421875,55523276,66911.23438,1153.156982421875,18466432,68064.39063,0,8879366,0,0,0,0,0,0.032682443435926765,0.001929079,3.6010625234842903,717769.9694000001,716026.125,60751.690200000005,3.464397625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55523276,0.012895963217300074,0.012927370665232363,0.33256827280868656,0.078945561,0.002379605,0
1982,2,34540033,92983.82227,2531.320556640625,0,17802606.75,0,190785888,22419792,3656.351318359375,55153700,141528.9219,3656.351318359375,22423448,145185.2813,0,10621758,0,0,0,0,0,0.045260204203363304,0.003366311,9.118671480480776,709894.7503000001,703678.9375,-4781.383025,8.496897462711338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55153700,0.012758508268710894,0.012871208102085627,0.4064966085684188,0.0956453,0.005097678,0
1983,3,39424386,127859.8027,5203.2694091796875,0,24683016.5,0,183884384,25093374,8831.495117,54824968,230659.5469,8831.495117,25102204,239491.0313,0,11820562,0,0,0,0,0,0.053599420927445365,0.004699062,18.96824681304842,710738.5238,701485.125,-4781.383025,17.91667357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54824968,0.012794993788231668,0.012963774530155677,0.457699747,0.10769343153049617,0.008405867,0
1984,4,40506891,167067.1348,6581.4317626953125,0,28679577.5,0,180647104,26435198,15216.04688,54596440,339281.3125,15216.04688,26450414,354497.3125,0,12318052,0,0,0,0,0,0.056058040930454106,0.006238578,24.28236958122937,716926.1959,688012.875,63564.26845,22.244860108423115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54596440,0.012601790061769595,0.013131372593615994,0.48419270560498084,0.11355571057623813,0.012510851724339597,0
1985,5,40138501,199158.6484,8803.368164,84.37734603881836,30485703.5,0,179940304,27008938,23878.78906,54474856,452909.4688,23878.78906,27032816,476788.2188,0,12396410,0,0,0,0,0,0.055766413,0.007520762,32.713857557849344,734082.9232500001,725279.5,151597.96767500002,30.77340683078059,0.29405649077346113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31327342426946064,54474856,0.013314023262402015,0.013475629,0.4958055878110077,0.11506245430976135,0.016815473207002725,0
1986,6,38473199,200621.1914,10884.677001953125,421.88671112060547,30701794.5,0,181055216,26932716,34144.69922,54418180,546737.0625,34144.69922,26966860,580881.75,0,12140774,0,0,0,0,0,0.053123572,0.007637732,40.64523957187087,741395.6267,699769.4375,140910.1703,37.84253408547463,1.4376368172519016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5733907968642087,54418180,0.012859111376014414,0.013624043044070933,0.4949212928473536,0.11319497376244385,0.020390096198032556,0
1987,7,36374397,213671.543,12769.10449,956.2766265869141,29785567,0,182965808,26545282,45648.14453,54381456,633139.4375,45648.14453,26590928,678787.5625,0,11740067,0,0,0,0,0,0.049701085,0.008189882,47.86525687,760802.4166250001,671812.375,72002.0032,44.35510339788378,3.244085097003538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5784997766962836,54381456,0.012353703,0.013990107521670623,0.48813113793790297,0.10983178394688348,0.023692823527413035,0
1988,8,34039986,221181.125,12122.21142578125,1912.5532836914062,28386621,0,185489520,25800342,55492.17188,54364404,714788.625,55492.17188,25855834,770280.75,0,11138850,0,0,0,0,0,0.045878583868242256,0.008541708,45.65194641501593,770083.9248500001,670968.625,65533.07322500001,41.096918247533246,6.552204878011176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.187607233073446,54364404,0.012342057957629776,0.014165223348167305,0.4745815294875669,0.10465287360987093,0.026862623567028347,0
1989,9,32277625,201296.207,12262.840576171875,2446.9432983398438,26903686.5,0,188131376,24924080,64689.29688,54401872,776046.5,64689.29688,24988772,840735.8125,0,10667489,0,0,0,0,0,0.0428924,0.00771467,45.75002460263411,766990.0887750001,684384.625,98440.23875,41.83032912594021,7.899694754693507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.107040833686261,54401872,0.012580166818524186,0.014098597356631406,0.45814746963119213,0.099255731,0.028882921680834703,0
