year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,17590482.75,27057.001831054688,140.62891006469727,0,3354111.719,0,208871888,13901505,140.6289063,55802340,25200.69922,140.6289063,13901645,25341.32617,0,7056787,13934918,365.63519287109375,0,0,0,0.021054153000714008,0.000952832,0.49479820386657747,739989.3376,711722.875,-27282.00903,0.5577981618148555,0,0,0,0,0,0,0,0,0,14076925.12,14076925.12,365.63516998291016,365.63516998291016,0,0,14076925.12,14076925.12,365.63516998291016,365.63516998291016,0,0,0,55802340,0.012754355372910885,0.013260901560310913,0.2491204669911692,0.062072376,0.000886674,0
1981,1,25826049.5,52820.21777,900.0250129699707,0,10176189,0,200484784,18353396,1040.6539306640625,55548892,62804.87109,1040.6539306640625,18354436,63845.52344,0,8851690,14163498,7256.453125,28.125782012939453,0,0,0.032204501,0.00188104,3.1981449920561054,718332.4851,683709.625,27563.266850000004,2.8576236211045813,0,0,0,0,0,0,0,0,0,2963388.4228515625,524714.5634765625,7115.822620391846,7115.822620391846,28.125782012939453,0,17040313.540039062,14601639.680664062,7481.457790374756,7481.457790374756,28.125782012939453,28.125782012939453,0,55548892,0.012308249550684108,0.012931535791028919,0.3304007575884682,0.078630985,0.002231623,0
1982,2,34176566.5,96752.68164,2278.188446044922,0,17629576.25,0,191286816,22153218,3290.716552734375,55184976,136100.6563,3206.339355,22156506,139307,84.37734985351562,10530518,14221716,14231.64648,140.6289063,0,0,0.044666651908723286,0.003498249,8.197766426,710176.0081,701316.3125,-10406.53953,7.761490553,0,0,0,0,0,0,0,0,0,1429464.654296875,393873.4375,6947.067764282227,6947.067764282227,112.50312805175781,0,18469778.194335938,14995513.118164062,14428.525554656982,14428.525554656982,140.62891006469727,140.62891006469727,0,55184976,0.012708464573763699,0.012869010002378185,0.4014356733615323,0.094720839,0.004896841,0
1983,3,38899052,138181.9707,4584.502014160156,0,24322472.5,28.125782012939453,184483472,24766436,7875.218262,54835956,224696.875,7650.211914,24774288,232347.0781,225.00625610351562,11695881,14288938,26635.11328,309.38360595703125,0,0,0.052713465,0.005075099,16.704635610133867,711019.7816000001,693834.875,-12656.60213,15.856943033510962,0,0,0,0,0,0,0,0,0,1406035.938,403154.9297,13190.991752624512,13190.991752624512,168.75469207763672,0,19875814.131835938,15398668.047851562,27619.517307281494,27619.517307281494,309.3836021,309.3836021,0,54835956,0.012652918369837484,0.012966305932552723,0.45164592370743023,0.10651155975454009,0.00818504,0
1984,4,40286271,165857.7266,5653.28125,0,28516140,0,181187408,26190868,13359.74805,54607576,315430.625,12656.60352,26204200,328087.25,703.1445922851562,12223268,14411397,48123.21094,843.7735595703125,0,0,0.055586466306753506,0.006185596,20.848264844761864,716926.1959,676931.25,48095.08807500001,19.37702161907359,0,0,0,0,0,0,0,0,0,1301970.5166015625,436005.8438,23035.01758,22275.621089935303,562.515625,0,21177784.65,15834673.891601562,50654.534885406494,49895.1384,871.8992271,871.8992271,0,54607576,0.012396288200010928,0.013128694742374209,0.4796196776798882,0.11264035364111843,0.011627076212102693,0
1985,5,39615276,188527.1016,7143.9471435546875,0,30347072,140.62891006469727,180928096,26808342,20391.19141,54494288,326540.3125,17156.72656,26828652,343697.0313,3234.465087890625,12371687,14584989,171539.125,4106.36377,0,0,0.054738978,0.007080078,26.52073769269226,734364.1810750001,694397.4375,116440.73955000001,24.42016614523111,0,0,0,0,0,0,0,0,0,9984258.293,437102.75,127691.05041503906,127269.16314697266,3290.7164306640625,0,31162042.94140625,16271776.641601562,178345.58530044556,177164.30154418945,4162.6156578063965,4162.6156578063965,0,54494288,0.012742572900484542,0.013475985,0.4919477432203537,0.11474658764026668,0.012114560152180159,0
1986,6,37904835,194855.4141,7847.0919189453125,196.8804702758789,30414154,450.01251220703125,182260400,26727058,27872.65234,54434528,375310.4375,22866.26172,26754480,398176.6875,5006.38916,12110005,14791573,239237.9063,6159.546875,0,0,0.051992692,0.007365496,29.27188429,741114.3689,697603.75,138378.8499,26.79399957538279,0.633909574,0,0,0,0,0,0,0,0,5442113.552734375,449337.4609,72086.37564086914,70736.33957,2193.8111877441406,0,36604156.494140625,16721114.102539062,250431.9609413147,247900.64111328125,6356.426845550537,6356.426845550537,0.7337942306791856,54434528,0.012815464295015105,0.013614784514619104,0.49099457608964664,0.11283815746229456,0.013988214949165639,0
1987,7,35785136,208890.1602,8775.242676,450.0125160217285,29557497,421.88673400878906,184415680,26253900,35888.5,54384832,444753,29194.56445,26289138,473947.5625,6693.936523,11719816,15001813,287642.375,8100.224609,0,0,0.048511514856003565,0.007947854,32.86836291,760802.4166250001,667706.0625,69189.42495,29.400906356765663,1.5008303261273412,0,0,0,0,0,0,0,0,3619028.598,428327.5,52201.454650878906,51610.81184387207,2053.1821899414062,0,40223185.091796875,17149441.602539062,302633.4155921936,299511.4529571533,8409.609035491943,8409.609035491943,1.6837161861077543,54384832,0.012277431738687727,0.013989239069911995,0.48274305600502726,0.10962386153084157,0.016640378,0
1988,8,33398156,208552.6445,9000.248779296875,1237.5344696044922,28134673.5,646.8929977416992,187124768,25497874,43398.08203,54375488,475072.5625,33188.42188,25540322,508261,10209.65918,11139665,15228029,371991.5625,11897.20605,0,0,0.04462017,0.007976668,33.85178893898981,770365.1827,666018.5,56814.08065,30.325295695501534,3.8151472367449135,0,0,0,0,0,0,0,0,3253308.996,425430.5391,93546.34826660156,86514.90057373047,4275.1187744140625,0,43476494.087890625,17574872.141601562,396179.76385879517,386026.3535308838,12684.727809906006,12684.727809906006,4.648818915851591,54375488,0.012248506165130877,0.014167508394131563,0.4689222099487181,0.10461584432634123,0.017846180201008203,0
1989,9,31792060,212687.1445,10631.54443359375,1153.1570434570312,26634612,646.8929748535156,189858592,24607554,52201.45703,54386764,515348.6875,38982.33594,24658632,554331,13219.11914,10662849,15518653,436905.9063,15047.29297,0,0,0.041862814,0.008075221,39.64832519966107,767271.3466,674343.75,76502.1284,34.73594892183253,3.387402835190137,0,0,0,0,0,0,0,0,3099601.6396484375,545387.0234,73548.91650390625,69330.05255126953,3487.597168,0,46576095.72753906,18120259.165039062,469728.6803627014,455356.4060821533,16172.324977874756,16172.324977874756,4.294237275863452,54386764,0.012399041612404077,0.014107685219146337,0.4524548288991785,0.099268361,0.019191050832897825,0
